density_sq_km,land_sq_km,water_sq_km,childcnt,conservative,liberal,ownrent,income,dem_performance_pct,persuasion_pct,turnout_pct,age,earliest_reg_date,sex,vote_g2008,vote_g2010,vote_g2012,vote_p2004party_d,vote_p2004party_r,vote_p2006party_d,vote_p2006party_r,vote_p2008party_d,vote_p2008party_r,vote_p2009party_d,vote_p2009party_r,vote_p2010party_d,vote_p2010party_r,vote_p2011party_d,vote_p2011party_r,vote_p2012party_d,vote_p2012party_r,vote_pp2004party_d,vote_pp2004party_r,vote_pp2008party_d,vote_pp2008party_r,vote_pp2012party_d,vote_pp2012party_r,hh_vote_p2004party_d_num,hh_vote_p2004party_r_num,hh_vote_p2006party_d_num,hh_vote_p2006party_r_num,hh_vote_p2008party_d_num,hh_vote_p2008party_r_num,hh_vote_p2009party_d_num,hh_vote_p2009party_r_num,hh_vote_p2010party_d_num,hh_vote_p2010party_r_num,hh_vote_p2011party_d_num,hh_vote_p2011party_r_num,hh_vote_p2012party_d_num,hh_vote_p2012party_r_num,hh_vote_pp2004party_d_num,hh_vote_pp2004party_r_num,hh_vote_pp2008party_d_num,hh_vote_pp2008party_r_num,obama08_minus_kerry,random_var,support,obama08_pct_mean,catowner_1,lib_donor,id,boatownr_1,apparel_1,bankcard_1,bookmusc_1,environm_1,contbrel_1,outdgrdn_1,electrnc_1,donrever_1,golf_1,outdoor_1,stockbnd_1,smarstat_s,smarstat_m,veteran_1,cen_advcnddegreepcnt,cen_armedforcespct,cen_avgtrvltime,cen_blackpcnt,cen_childrenpcnt,cen_collegepcnt,cen_hisppcnt,cen_i_art_ent_rec_srvspr,cen_i_farmingprct,cen_i_miningprct,cen_i_utilitiesprct,cen_i_wholesaletrprct,cen_medianincome,cen_ruralpcnt,cen_singlemomspcnt,cen_unemprate,cen_urbanpcnt,state_region,ethnicity
377.24912,3.008622,0,"0","102","104","9",,77.6,,44.2,75,"1964-10-03","F",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,7.6,82.8,1,.3586782,0,0,114484,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,.0551181,.1325758,20.40772,.8754513,.445,.148294,.0108303,0,0,0,.0113636,.0438312,50000,0,.1175,.011236,1,"Region 1","B"
,,,"0","052","111","5",5000,54.7,,35.1,31,"1999-08-16","M",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.7,47.2,1,.3013909,0,0,115044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0359195,.0348259,32.05087,0,.3286999,.0272989,.0016093,0,.008771,.192397,.018098,.05592,17122,1,.0899428,.0891089,0,"Region 6","W"
30.798824,33.24591,.034581,"0","128","062","8",,36.7,,50.1,77,"2000-04-05","F",1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,-.7,33.6,1,.403154,0,0,110490,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.0075529,.1164659,23.45455,.2194638,.358209,.0740181,0,0,.0116054,0,.0154739,.0502901,37788,1,.0179104,.066787,0,"Region 6","W"
41.500968,26.636399,.350923,"0","052","111","5",,32.5,,47.3,52,"2004-12-14","M",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.2,26,0,.1315656,0,0,114396,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,.0153257,.1493213,28.52747,0,.3374083,.0421456,0,.010772,0,0,0,.0287253,42411,1,.0806846,.0429553,0,"Region 6","W"
,,,"0","128","062","9",,38.9,,45.6,71,"1999-04-09","F",1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,4.3,38.6,0,.2810075,0,0,111349,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,.0420592,.1400766,29.89887,.212645,.3333333,.077389,.0012761,.004203,.038203,.005129,.009069,.039116,35979,1,.0853946,.0210552,0,"Region 6","H"
10.036568,171.60232,.169544,"0","128","062","9",,58.4,,37.9,53,"1995-10-06","F",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.1,63.4,1,.4604133,0,0,111895,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.0188834,.1512158,28.53966,.5174014,.2776204,.0763547,.0069606,0,.0980114,.0014205,0,.0269886,26802,1,.082153,.0552632,0,"Region 3","B"
4825.9804,.904065,0,"0","052","111","4",5000,73.9,,23.9,70,"2008-11-12","M",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,8,79.4,1,.2511661,0,0,112651,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,.0448582,.0824603,39.45993,.3181292,.4443022,.0660178,.2785367,.0021834,0,0,.0032751,.0027293,29700,0,.1357234,.0595483,1,"Region 4","B"
2135.4188,.709931,0,"0","102","104","9",5000,91.4,,25.8,82,"1972-09-16","F",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.8,98,1,.2037501,0,0,114675,0,1,1,1,0,0,1,1,1,0,1,0,1,0,0,.0108565,.1497934,30.17822,.8893281,.3434856,.0434258,.0375494,0,0,0,0,0,23179,0,.2284264,.1330561,1,"Region 1","B"
1039.8422,2.081085,0,"0","102","104","9",,79.5,,26.5,29,"2004-05-05","F",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,11.7,87.9,1,.4030308,0,0,112409,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.0071372,.1455863,30.85259,.887721,.3325608,.0190325,.0186335,.0172202,.0159902,.0098401,.0147601,.0492005,22039,0,.156431,.0468933,1,"Region 1","B"
760.53397,7.697124,.465562,"0","064","125","5",,47.5,,38.3,46,"1996-09-18","F",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.1,50.6,0,.8648189,0,0,110282,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,.1519924,.2417191,23.23334,.2717235,.3189066,.2452875,.025124,.0056426,0,.0028213,.0053292,.0253918,50154,0,.0561883,.0305556,1,"Region 5","W"
2087.7316,.980969,0,"0","100","123","1",5000,58.4,,33.9,54,"1980-07-17","F",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,25.5,75.9,1,.8858702,0,0,113455,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.0344828,.2813156,25.53194,.4933921,.4287257,.146798,.0357318,.0198676,0,0,.0119205,.010596,25233,0,.287257,.0887805,1,"Region 5","B"
24.236249,49.38883,0,"0","130","053","8",5000,43.5,,40.9,88,"1968-09-12","M",1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,37.7,0,.2025612,0,0,112103,1,1,0,1,0,0,1,1,1,0,1,0,1,0,0,.0643204,.1385927,21.80862,.0111288,.2927308,.1140777,0,0,.0673235,0,0,.0098522,31736,1,.1178782,.0846954,0,"Region 6","W"
85.128514,.315759,5.921869,"0","078","077","2",,95.5,,11.9,52,"1980-07-15","F",1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4.5,99.1,1,.924491,0,0,113589,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.0607143,.1506024,25.99462,1,.4774775,.0571429,0,.0860215,0,0,0,0,13833,0,.4009009,.1506849,1,"Region 5","B"
12.761453,82.544894,.047584,"0","096","087","4",5000,65.7,,42.9,59,"1991-11-06","F",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.1,73.8,1,.6848277,0,0,110474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0441176,.1720818,37.73077,.757326,.2315789,.0842246,.003663,.0051151,.056266,.0255754,0,.0358056,25737,.702381,.1178947,.0461165,0,"Region 3","B"
1787.9284,1.049259,0,"0","103","079","2",5000,78.6,,28.4,66,"1999-12-15","F",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,7.4,81.9,1,.6620165,0,0,111885,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.0242277,.1649366,26.10979,.4787908,.1035088,.0847971,.0126767,.0086331,.0071942,0,0,.0561151,16125,0,.0736842,.0440165,1,"Region 5","B"
183.16813,10.611956,.03946,"0","078","077","4",5000,51.1,,38.6,65,"2006-11-17","F",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,9.1,56.7,1,.7049553,0,0,115163,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,.0046048,.2368958,27.59623,.6300667,.2997118,.0867229,0,0,.0083037,0,.0059312,.0415184,23813,.0564392,.0720461,.0340522,.9435608,"Region 3","B"
370.43493,3.579576,0,"0","102","104","9",5000,53,,37.5,24,"2006-01-31","F",1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,9.5,59.6,1,.5200448,0,0,114829,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,.0131209,.0921169,21.6547,.5323054,.2155963,.0168697,0,.0331492,0,0,0,.0138122,21354,0,.0688073,.0927318,1,"Region 6","B"
1943.435,.550057,0,"0","102","104","9",,84.7,,28.4,48,"1997-03-06","F",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7,86.7,1,.0819986,0,0,112733,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,.0056899,.1403743,14.02065,.9604892,.3737864,0,.0150517,.027027,0,0,0,.0108108,14453,0,.1941748,.0909091,1,"Region 6","B"
1504.6481,.710062,.411795,"0","064","125","3",5000,91.8,,27.1,20,"2011-01-05","F",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.7,97.9,1,.9200656,0,0,113843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0156658,.078125,28.45414,.9761634,.56231,.04047,.0079455,0,0,0,0,0,9329,0,.5030395,.1642066,1,"Region 5","B"
127.72235,9.685071,0,"0","128","062","7",5000,45,,34.4,82,"1968-10-01","F",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,5,44.8,0,.2331747,0,0,110106,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.0583851,.1708653,22.05147,.1951424,.2682927,.0832298,.0737018,.0216998,.0162749,0,.0072333,.0216998,32917,1,.0670732,.0829187,0,"Region 3","W"
10.765624,114.06678,0,"0","128","062","8",5000,36.8,,51.4,79,"1996-06-14","F",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.6,30.4,1,.9168159,0,0,112775,1,1,1,1,0,0,1,0,0,0,1,0,1,0,0,.0237204,.1147357,27.48297,.0481013,.3780992,.153558,.0295359,0,.0295276,.0177165,0,.0137795,26806,1,.0413223,.0451128,0,"Region 6","B"
411.54623,5.447154,.012743,"0","130","053","8",,36.7,,43.7,63,"1992-09-26","F",1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,-6.4,26.3,1,.334049,0,0,111833,0,1,0,1,0,0,1,0,1,1,1,0,0,0,0,.0501771,.1434003,19.35626,.0669309,.2592946,.0950413,.002642,.0078947,0,0,.0289474,.0377193,31270,.1536768,.0457579,.0617284,0,"Region 6","U"
27.19068,44.514266,6.826856,"0","052","111","5",5000,51.5,,44.4,70,"1975-10-01","F",1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,6.5,51.6,0,.7817022,0,0,111629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0761719,.1456658,23.57374,.4281525,.2711864,.1376953,.0168622,0,.0057582,0,0,.0115163,36776,1,.0301318,.0859649,0,"Region 3","W"
98.890022,10.334713,0,"0","096","087","6",,39.6,,39,54,"1999-12-09","F",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.9,34.4,1,.1295684,0,0,112970,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,.0165563,.1256831,25.76486,.1956989,.2785146,.0215232,.1591398,0,0,0,.0178571,.0382653,20579,.9258065,.0822281,.1327434,0,"Region 6","B"
12.180929,81.021131,.171361,"0","128","062","9",,49.4,,44.2,21,"2011-08-30","F",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7,51.8,0,.0195835,0,0,110912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0444444,.152381,28.12436,.3422405,.3173803,.042963,0,.0098765,.0197531,0,.0469136,.0617284,34896,1,.0327456,.0919283,0,"Region 6","W"
1089.5307,.904059,0,"0","064","125","1",5000,63.5,,25.9,33,"2009-04-15","F",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,15.6,70.5,1,.1064336,0,0,110856,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.0073801,.1330128,20.36434,.8306288,.3801843,.0664207,0,.0373134,0,.0149254,0,0,12396,0,.2396313,.1959064,1,"Region 6","B"
3416.4294,.242651,0,"0","070","121","1",,56.3,,28.8,51,"2001-05-07","F",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,10.1,61.1,0,.2405703,0,0,114056,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.062753,.2453469,27.52604,.2281553,.2934473,.0688259,.0145631,.0867052,0,0,0,0,24347,0,.2250712,.0921659,1,"Region 5","W"
1422.5528,.604547,0,"0","102","079","9",5000,64.5,,34.1,73,"1965-01-08","F",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.4,71.7,1,.6704599,0,0,114698,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.0134771,.1601866,19.40741,.8194774,.2723735,.1132075,.0106888,0,0,0,0,.0354839,18281,0,.1245136,.1822324,1,"Region 5","B"
4054.5419,.252063,0,"0","078","077","1",,95.6,,21.2,44,"2000-03-01","F",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,5,99.6,1,.8868961,0,0,111295,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,.0205371,.1443709,22.86129,.8868869,.2761693,.0363349,.025025,.0249221,0,0,0,0,13910,0,.2449889,.1640625,1,"Region 5","B"
,,,"0","130","053","9",,40.2,,44.1,44,"1986-05-21","F",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,35.6,0,.8842114,0,0,111290,0,1,0,1,1,0,1,1,1,0,1,0,0,0,0,.0522119,.1402256,27.45964,.0003587,.2953872,.0766461,.0026901,.007719,.046078,.026604,.009206,.013341,23916,1,.046551,.058337,0,"Region 6","W"
179.57795,6.445925,.019234,"0","096","087","4",5000,36.3,,40.6,72,"2005-08-19","M",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,37.9,1,.8970714,0,0,111463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0420168,.1301969,23.33117,.4599483,.213628,.0648259,.002584,0,.0105708,0,.012685,.0338266,23194,1,.106814,.0633663,0,"Region 6","B"
436.04712,1.903464,0,"0","130","053","9",5000,58.8,,38,65,"1990-02-20","F",1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,,,,,,,,,,,,,,,,,,,9.6,58.3,1,.9709739,0,1,110744,0,1,0,1,0,0,1,1,1,1,1,0,1,0,0,0,.1233284,23.11029,.0890411,.2643052,.0415973,.0422374,0,0,0,.0392157,0,27454,0,.0544959,.091314,0,"Region 6","W"
3438.12,.32256,0,"0","103","079","1",5000,94.2,,33.1,68,"2011-12-06","F",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,3.9,99,1,.6495565,0,0,114483,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.0288,.1243243,26.41014,.9692029,.2880659,.0384,.0036232,0,0,0,0,0,11818,0,.2345679,.2898089,1,"Region 5","B"
